class,Source,Truth
中文学习者,如果独生的话，一到家就睡觉。,如果我一个人的话，一到家就可以睡觉。
中文学习者,我第一次结识的高中一年级时，我存了一个兼职工作，从60美元捐赠给他们的反捕鲸的绿色和平运动.,我第一次知道这个活动是在高中一年级时，我通过做兼职存了一些钱，捐赠了60美元给他们的反捕鲸的绿色和平运动。
中文学习者,现在终于夏天来临，所以好像城市醒起来的样子。,现在夏天终于来临了，所以好像城市醒了过来。
中文学习者,因为，这天我们走很多时间，所以很累了。,因为这天我们走了很长时间，所以我们很累。
中文学习者,看了我的样子后，同事惊得问我“你用这个号码多久呢？,看到了我的样子后，同事惊讶的问我“你用这个号码多久了？”
中文学习者,提别是我公司的文员们，他们背了很多人的手机号码。,特别是我们公司的文员们，他们背了很多人的电话号码。
中文学习者,"如果找到工作的话,我想住大连大约三个年。","如果找到工作的话,我想在大连住大约三年。"
中文学习者,一旦我们坐车进入城市，路上的小孩儿都指着我们大笑，因为我们两个外国人做着没有车门的车。,从我们坐车进入城市，路上的小孩儿都指着我们大笑，因为我们两个外国人坐着没有车门的车。
中文学习者,因为老家自己做生意的理由，或者通过学生时候的打工的经验感到工作的成就感，,因为在老家自己做生意，或者是学生时候的打工经验让我感受到了工作的成就感，
中文学习者,她是个中国人，出生于东北地方。,她是个中国人，出生在东北地区。
中文学习者,上周五在上海歌城有了公司的圣诞&amp;忘年会。,上周五在上海歌城有公司的圣诞&忘年会。
中文学习者,菜的种类不多，味道就期待以上）,菜的种类不多，味道就期待以上
中文学习者,在这有些演员做一个短小品。,"在这,有些演员做短小品。"
中文学习者,但是我们到宿舍得时候没有房间。,但是我们到酒店的时候没有房间了。
中文学习者,我不知道在哪儿有理发店所以我问一个小姐。,我不知道在哪儿有理发店所以我问了一个小姐。
中文学习者,"住了在哈尔滨,黑龙江哈尔滨,太冷!","住在哈尔滨,黑龙江哈尔滨,太冷了!"
中文学习者,我觉得理想的老师喜欢他的工作，他的学生。,我理想的老师喜欢他的工作，他的学生。
中文学习者,每天我学习在家，我做作业，写汉字，复习旧课词语。,每天我在家学习，做作业，写汉字，复习课上的词语。
中文学习者,每个天我听后读小文章在duChinese应用程式。,每天我在duChinese应用程式先听然后读小文章。
中文学习者,-我认识有些字文章里。,-我认识文章里一些字。
中文学习者,他做梦的时候他是一个太空人了。,他做梦梦到他是一个太空人。
中文学习者,他是4个月大时了，他从斯里兰卡来到瑞典。,他4个月大时，从斯里兰卡来到瑞典。
中文学习者,在星期日前我回大学，我们烤肉。,在我回大学前的那个星期日，我们家吃了烤肉。
中文学习者,由于这里我国家人不能得到签证，我也不能工作。,因为在这里我们国家的人没有签证，我也不能在这里工作。
中文学习者,尽管这些不好个事，我至少有时候能收到别人说的大意，就给别人回答一下。,尽管有这些不好的事，有时候我至少能听懂别人说的大意，就给别人回答一下。
中文学习者,我打算跟家人去那里吃饭，但是很糟糕的是，当我们到那里发现了餐厅已经破产很多时间，让我觉得很失望。,我打算跟家人去那里吃饭，但是很糟糕的是，当我们到那里发现了餐厅已经歇业很久，让我觉得很失望。
