,Unnamed: 0,class,Source,Truth,BART,ernie,macbert,gpt3.5,gpt4,effidit
0,0,名词误用,在环游世界的旅程中，我们见闻了许多新奇的事物。,在环游世界的旅程中，我们见识了许多新奇的事物。,unchanged,unchanged,unchanged,在环游世界的旅程中，我们见识了许多新奇的事物。,unchanged,unchanged
1,1,名词误用,球员满场飞跑，技巧地控制着皮球。,球员满场飞跑，灵活地控制着皮球。,unchanged,unchanged,unchanged,球员满场奔跑，技巧地控制着皮球。,球员们满场飞跑，熟练地控制着皮球。,unchanged
2,2,动词误用,交通比较发展的地方，会成为货物的集散地。,交通比较发达的地方，会成为货物的集散地。,交通比较发达的地方，会成为货物的集散地。,unchanged,unchanged,交通比较发达的地方，会成为货物的集散地。,交通发达的地方，往往成为货物的集散地。,交通比较发达的地方，会成为货物的集散地。
3,3,动词误用,年青人的身心发展，特别值得家长的重视。,年青人的身心发展，特别值得家长重视。,unchanged,年轻人的身心发展，特别值得家长的重视。,unchanged,年轻人的身心发展，特别值得家长的重视。,年轻人的身心发展，尤其值得家长重视。,年轻人的身心发展，特别值得家长的重视。
4,4,动词误用,辛亥革命，觉醒了中国人的心声。,辛亥革命，唤醒了中国人的心。,辛亥革命，唤醒了中国人的心声。,unchanged,unchanged,辛亥革命，唤醒了中国人的心声。,辛亥革命唤醒了中国人的觉悟。,辛亥革命，唤醒了中国人的心声。
5,5,动词误用,在手术室里，护士正忙于协助医生、消毒仪器，以方便进行手术。,在手术室里，护士正忙于协助医生、将仪器消毒，以方便进行手术。,unchanged,unchanged,unchanged,在手术室里，护士正忙于协助医生消毒仪器，以便进行手术。,在手术室里，护士正忙于协助医生、消毒仪器，以便进行手术。,在手术室里，护士正忙于协助医生消毒仪器，以方便进行手术。
6,6,形容词误用,经过数十小时的学习，我已经熟练了基本的驾驶技术。,经过数十小时的学习，我已经掌握了基本的驾驶技术。,经过数十小时的学习，我已经熟练掌握了基本的驾驶技术。,unchanged,unchanged,经过数十小时的学习，我已经掌握了基本的驾驶技术。,经过数十小时的学习，我已经掌握了基本的驾驶技术。,unchanged
7,7,形容词误用,同一件货品，在中港两地，价钱悬殊了一大半。,同一件货品，在中港两地，价钱相差了一大半。,unchanged,unchanged,unchanged,同一件货品，在中港两地，价格相差了一大半。,同一件货品，在中港两地，价格相差了一大截。,unchanged
8,8,形容词误用,连场大雨，在街上走了很短的路，裤管上沾满了泥泞。,连场大雨，在街上走了很短的路，裤管上沾满了泥浆。,连场大雨，我在街上走了很短的路，裤管上沾满了泥泞。,unchanged,unchanged,连续的大雨在街上走了很短的路，使裤管沾满了泥泞。,连绵大雨，在街上走了很短的路，裤管上沾满了泥泞。,unchanged
9,9,主语、谓语搭配不当,两部直升机在空中飞驰。,两部直升机在空中飞翔。,两架直升机在空中飞驰。,两步直升机在空中飞驰。,unchanged,两架直升机在空中飞行。,两架直升机在空中飞驰。,unchanged
10,10,主语、谓语搭配不当,随著经济的发展，人们的生活水平大为改善。,随著经济的发展，人们的生活水平大为提高。,随着经济的发展，人们的生活水平大为改善。,unchanged,unchanged,随着经济的发展，人们的生活水平大大改善。,随着经济的发展，人们的生活水平大为改善。,unchanged
11,11,主语、谓语搭配不当,春风一阵阵吹来，树枝摇曳着，月光、树影一起晃动起来，发出沙沙的响声。,春风一阵阵吹来，树枝摇曳着，发出沙沙的响声，连月光、树影也彷彿一起晃动起来。,unchanged,unchanged,unchanged,春风阵阵吹来，树枝摇曳着，月光、树影一起晃动，发出沙沙声。,春风一阵阵吹来，树枝摇曳，月光与树影一起晃动，发出沙沙的响声。,unchanged
12,12,动词、宾语搭配不当,警方表示有信心扫除软性毒品的祸害和影响。,警方表示有信心扫除软性毒品。,警方表示有信心扫除软性毒品的危害和影响。,unchanged,unchanged,unchanged,警方表示有信心扫除毒品的祸害和影响。,unchanged
13,13,动词、宾语搭配不当,学写诗歌，要注意提炼诗的语言和题材。,学写诗歌，要注意提炼诗的语言和选择题材。,unchanged,unchanged,unchanged,学写诗歌时，要注意提炼诗的语言和题材。,unchanged,学写诗歌，要注意提炼诗歌的语言和题材。
14,14,动词、宾语搭配不当,千言万语都表达不了我们对老师的感激的情绪。,千言万语都表达不了我们对老师的感激。,千言万语都表达不了我们对老师的感激之情。,unchanged,unchanged,千言万语都表达不了我们对老师的感激之情。,千言万语都表达不了我们对老师的感激之情。,千言万语都表达不了我们对老师的感激情绪。
15,15,主语残缺,经过这次讲课，对大家的启发很大。,这次讲课，对大家的启发很大。,unchanged,unchanged,unchanged,unchanged,经过这次讲课，给大家带来很大的启发。,unchanged
16,16,主语残缺,在通讯事业迅速发展的情况下，可以得到的资讯越来越多。,在通讯事业迅速发展的情况下，我们可以得到的资讯越来越多。,unchanged,unchanged,unchanged,在通讯事业迅速发展的情况下，可以获得的信息越来越多。,在通讯事业迅速发展的情况下，我们可以获得的资讯越来越多。,unchanged
17,17,宾语残缺,世界红十字会是致力拯救第三世界国家贫困儿童。,世界红十字会致力拯救第三世界国家贫困儿童。,世界红十字会致力于拯救第三世界国家贫困儿童。,unchanged,unchanged,世界红十字会致力于拯救第三世界国家的贫困儿童。,世界红十字会致力于拯救第三世界国家的贫困儿童。,世界红十字会致力于拯救第三世界国家贫困儿童。
18,18,谓语残缺,为了达到目的，不惜任何手段。,为了达到目的，不惜采取任何手段。,unchanged,unchanged,unchanged,unchanged,为了达到目的，不惜使用任何手段。,unchanged
19,19,谓语残缺,地铁载客量高，而且比其他交通工具更准时抵达目的地的优点。,地铁载客量高，而且比其他交通工具更准时抵达目的地。,地铁载客量高，而且有比其他交通工具更准时抵达目的地的优点。,unchanged,unchanged,地铁载客量大，并且比其他交通工具更准时地抵达目的地。,地铁载客量高，并且比其他交通工具更准时抵达目的地。,地铁载客量高，而且比其他交通工具更能准时抵达目的地的优点。
20,20,状语残缺,在我遇到困难，他总是想办法帮助我解决。,在我遇到困难时，他总是想办法帮助我解决。,在我遇到困难时，他总是想办法帮助我解决。,在我遇到困难，她总是想办法帮助我解决。,在我遇到困难，她总是想办法帮助我解决。,在我遇到困难时，他总是想办法帮助我解决。,每当我遇到困难，他总是想办法帮助我解决。,在我遇到困难时，他总是想办法帮助我解决。
21,21,状语残缺,学校开办各种暑期活动，有朗诵、绘画、书法、烹饪等兴趣小组，举行了学艺比赛。,学校开办各种暑期活动，有朗诵、绘画、书法、烹饪等兴趣小组，分别举行了学艺比赛。,学校开办了各种暑期活动，有朗诵、绘画、书法、烹饪等兴趣小组，举行了学艺比赛。,unchanged,unchanged,学校开设各种暑期活动，包括朗诵、绘画、书法、烹饪等兴趣小组，并举办了艺术比赛。,学校开办各种暑期活动，有朗诵、绘画、书法、烹饪等兴趣小组，并举行了学艺比赛。,unchanged
22,22,定语成分多余,我们走过笔直而又漫长的直路，来到目的地。,我们走过笔直而又漫长的路，来到目的地。,unchanged,我们走过笔直而又漫长的道路，来到目的地。,我们走过笔直而又漫长的道路，来到目的地。,我们走过笔直而又漫长的路，来到了目的地。,我们走过了笔直且漫长的路，终于到达了目的地。,unchanged
23,23,定语成分多余,中国语言和任何西方语言不同。,中国语言和西方语言不同。,中国语言和任何西方语言都不同。,unchanged,unchanged,汉语和任何西方语言都不同。,中文与任何西方语言都不同。,unchanged
24,24,状语成分多余,他忽然大声地高叫起来。,他忽然高叫起来。,unchanged,她忽然大声地高叫起来。,她忽然大声地高叫起来。,他突然大声高叫起来。,他突然大声叫了起来。,unchanged
25,25,状语成分多余,漫山遍野到处都是逃难的人。,漫山遍野都是逃难的人。,unchanged,unchanged,unchanged,到处都是逃难的人。,漫山遍野，到处都是逃难的人们。,unchanged
26,26,语序不当,成熟的苹果落地，是由于它对地球引力的作用。,成熟的苹果落地，是由于地球引力对它的作用。,成熟的苹果落地，是因为它对地球引力的作用。,unchanged,unchanged,成熟的苹果落地是由于它受到地球引力的作用。,成熟的苹果落地，是因为地球引力的作用。,unchanged
