,Unnamed: 0,class,Source,Truth
0,0.0,名词误用,在环游世界的旅程中，我们见闻了许多新奇的事物。,在环游世界的旅程中，我们见识了许多新奇的事物。
1,1.0,名词误用,球员满场飞跑，技巧地控制着皮球。,球员满场飞跑，灵活地控制着皮球。
2,2.0,动词误用,交通比较发展的地方，会成为货物的集散地。,交通比较发达的地方，会成为货物的集散地。
3,3.0,动词误用,年青人的身心发展，特别值得家长的重视。,年青人的身心发展，特别值得家长重视。
4,4.0,动词误用,辛亥革命，觉醒了中国人的心声。,辛亥革命，唤醒了中国人的心。
5,5.0,动词误用,在手术室里，护士正忙于协助医生、消毒仪器，以方便进行手术。,在手术室里，护士正忙于协助医生、将仪器消毒，以方便进行手术。
6,6.0,形容词误用,经过数十小时的学习，我已经熟练了基本的驾驶技术。,经过数十小时的学习，我已经掌握了基本的驾驶技术。
7,7.0,形容词误用,同一件货品，在中港两地，价钱悬殊了一大半。,同一件货品，在中港两地，价钱相差了一大半。
8,8.0,形容词误用,连场大雨，在街上走了很短的路，裤管上沾满了泥泞。,连场大雨，在街上走了很短的路，裤管上沾满了泥浆。
9,9.0,主语、谓语搭配不当,两部直升机在空中飞驰。,两部直升机在空中飞翔。
10,10.0,主语、谓语搭配不当,随著经济的发展，人们的生活水平大为改善。,随著经济的发展，人们的生活水平大为提高。
11,11.0,主语、谓语搭配不当,春风一阵阵吹来，树枝摇曳着，月光、树影一起晃动起来，发出沙沙的响声。,春风一阵阵吹来，树枝摇曳着，发出沙沙的响声，连月光、树影也彷彿一起晃动起来。
12,12.0,动词、宾语搭配不当,警方表示有信心扫除软性毒品的祸害和影响。,警方表示有信心扫除软性毒品。
13,13.0,动词、宾语搭配不当,学写诗歌，要注意提炼诗的语言和题材。,学写诗歌，要注意提炼诗的语言和选择题材。
14,14.0,动词、宾语搭配不当,千言万语都表达不了我们对老师的感激的情绪。,千言万语都表达不了我们对老师的感激。
15,15.0,主语残缺,经过这次讲课，对大家的启发很大。,这次讲课，对大家的启发很大。
16,16.0,主语残缺,在通讯事业迅速发展的情况下，可以得到的资讯越来越多。,在通讯事业迅速发展的情况下，我们可以得到的资讯越来越多。
17,17.0,宾语残缺,世界红十字会是致力拯救第三世界国家贫困儿童。,世界红十字会致力拯救第三世界国家贫困儿童。
18,18.0,谓语残缺,为了达到目的，不惜任何手段。,为了达到目的，不惜采取任何手段。
19,19.0,谓语残缺,地铁载客量高，而且比其他交通工具更准时抵达目的地的优点。,地铁载客量高，而且比其他交通工具更准时抵达目的地。
20,20.0,状语残缺,在我遇到困难，他总是想办法帮助我解决。,在我遇到困难时，他总是想办法帮助我解决。
