,class,Source,Truth,classification according Truth (char),classification according Truth (word),classification according BART (char),classification according BART (word)
0,名词误用,在环游世界的旅程中，我们见闻了许多新奇的事物。,在环游世界的旅程中，我们见识了许多新奇的事物。,"[([('闻', 'v')], '->', [('识', 'v')])]","[([('见闻', 'n')], '->', [('见识', 'n')])]",,
1,名词误用,球员满场飞跑，技巧地控制着皮球。,球员满场飞跑，灵活地控制着皮球。,"[([('技巧', 'n')], '->', [('灵活', 'a')])]","[([('技巧', 'n')], '->', [('灵活', 'a')])]",,
2,动词误用,交通比较发展的地方，会成为货物的集散地。,交通比较发达的地方，会成为货物的集散地。,"[([('展', 'n')], '->', [('达', 'v')])]","[([('发展', 'vn')], '->', [('比较', 'd'), ('发达', 'a')])]","[([('展', 'n')], '->', [('达', 'v')])]","[([('发展', 'vn')], '->', [('比较', 'd'), ('发达', 'a')])]"
3,动词误用,年青人的身心发展，特别值得家长的重视。,年青人的身心发展，特别值得家长重视。,"[('-', [('的', 'u')])]","[('-', [('的', 'u')])]",,
4,动词误用,辛亥革命，觉醒了中国人的心声。,辛亥革命，唤醒了中国人的心。,"[([('觉', 'v')], '->', [('唤', 'v')]), ('-', [('声', 'n')])]","[([('觉醒', 'v')], '->', [('唤醒', 'v')]), ('-', [('心声', 'n')])]","[([('觉', 'v')], '->', [('唤', 'v')])]","[([('觉醒', 'v')], '->', [('唤醒', 'v')])]"
5,动词误用,在手术室里，护士正忙于协助医生、消毒仪器，以方便进行手术。,在手术室里，护士正忙于协助医生、将仪器消毒，以方便进行手术。,"[('+', [('将', 'p'), ('仪器', 'n')]), ('-', [('仪器', 'n')])]","[('+', [('将', 'p')]), ('-', [('仪器', 'n')])]",,
6,形容词误用,经过数十小时的学习，我已经熟练了基本的驾驶技术。,经过数十小时的学习，我已经掌握了基本的驾驶技术。,"[([('熟练', 'a')], '->', [('掌握', 'v')])]","[([('熟练', 'a')], '->', [('掌握', 'v')])]","[('+', [('掌握', 'v')])]","[('+', [('熟练', 'ad'), ('掌握', 'v')])]"
7,形容词误用,同一件货品，在中港两地，价钱悬殊了一大半。,同一件货品，在中港两地，价钱相差了一大半。,"[([('悬殊', 'a')], '->', [('相差', 'v')])]","[([('悬殊', 'a')], '->', [('相差', 'v')])]",,
8,形容词误用,连场大雨，在街上走了很短的路，裤管上沾满了泥泞。,连场大雨，在街上走了很短的路，裤管上沾满了泥浆。,"[([('泞', 'n')], '->', [('浆', 'n')])]","[([('泥泞', 'n')], '->', [('泥浆', 'n')])]","[('+', [('我', 'r')])]","[('+', [('我', 'r')])]"
9,主语、谓语搭配不当,两部直升机在空中飞驰。,两部直升机在空中飞翔。,"[([('驰', 'v')], '->', [('翔', 'PER')])]","[([('飞驰', 'v')], '->', [('飞翔', 'v')])]","[([('部', 'n')], '->', [('架', 'n')])]","[([('两部', 'm')], '->', [('两架', 'm')])]"
10,主语、谓语搭配不当,随著经济的发展，人们的生活水平大为改善。,随著经济的发展，人们的生活水平大为提高。,"[([('改善', 'v')], '->', [('提高', 'v')])]","[([('改善', 'v')], '->', [('提高', 'v')])]","[([('著', 'u')], '->', [('着', 'u')])]","[([('随著', 'p')], '->', [('随着', 'p')])]"
11,主语、谓语搭配不当,春风一阵阵吹来，树枝摇曳着，月光、树影一起晃动起来，发出沙沙的响声。,春风一阵阵吹来，树枝摇曳着，发出沙沙的响声，连月光、树影也彷彿一起晃动起来。,"[('-', [('月光', 'n'), ('、', 'w'), ('树影', 'n'), ('一起', 'd'), ('晃动', 'v'), ('起来', 'v'), ('，', 'w')]), ('+', [('，', 'w'), ('连', 'd'), ('月光', 'n'), ('、', 'w'), ('树影', 'n'), ('也', 'd'), ('彷彿', 'd'), ('一起', 'd'), ('晃动', 'v'), ('起来', 'v')])]","[('-', [('月光', 'n')]), ('+', [('，', 'w')])]",,
